"","GEBJAHR","count","avgage","stdage"
"1",1995,39440,25.6949036511156,4.69145836360837
"2",1996,39462,26.0130251887892,4.73779504990421
"3",1997,37932,26.1683011705157,4.8227706723241
"4",1998,36408,26.3607723577236,4.93497213056415
"5",1999,35449,26.5282518547773,5.04972441315583
"6",2000,35575,26.5945467322558,5.12699722848877
"7",2001,34733,26.7263409437711,5.30684585074069
"8",2002,35793,26.8971586623083,5.38393621241555
"9",2003,35241,27.0196078431373,5.4288595151362
"10",2004,36411,27.0662711817857,5.47500647467973
"11",2005,36221,27.2200933160321,5.48005120771888
"12",2006,36288,27.3909556878307,5.50398386033709
"13",2007,35261,27.5162927880661,5.53541142383464
"14",2008,36392,27.5724060233018,5.54404897868248
"15",2009,35953,27.7312602564459,5.53396941081699
"16",2010,37267,27.9531757318808,5.55051569056192
"17",2011,37463,28.1633878760377,5.51348418845006
"18",2012,37979,28.3418994707602,5.41781951739202
"19",2013,38168,28.4753458394467,5.40555042366541
"20",2014,39224,28.6095757699368,5.34363127568547
"21",2015,40353,28.799940524868,5.33683966867277
"22",2016,41083,28.8879098410535,5.34185707860992
