"","GEBJAHR","ALTM","count","sectiorate"
"156",1999,33,1117,0.280214861235452
"157",1999,34,894,0.305369127516779
"158",1999,35,700,0.297142857142857
"159",1999,36,519,0.371868978805395
"160",1999,37,398,0.311557788944724
"161",1999,38,268,0.354477611940299
"162",1999,39,174,0.419540229885057
"163",1999,40,134,0.417910447761194
"164",1999,41,85,0.482352941176471
"165",1999,42,38,0.473684210526316
"166",1999,43,26,0.5
"167",1999,44,8,0.375
"168",1999,46,2,0.5
"169",1999,47,1,1
"170",2000,13,1,0
"171",2000,14,5,0
"172",2000,15,61,0.131147540983607
"173",2000,16,178,0.0955056179775281
"174",2000,17,479,0.110647181628392
"175",2000,18,837,0.120669056152927
"176",2000,19,1390,0.133812949640288
"177",2000,20,1679,0.138177486599166
"178",2000,21,1845,0.140379403794038
"179",2000,22,1956,0.156441717791411
"180",2000,23,2039,0.163805787150564
"181",2000,24,2294,0.170880557977332
"182",2000,25,2538,0.176910953506698
"183",2000,26,2566,0.193686671862822
"184",2000,27,2668,0.174662668665667
"185",2000,28,2498,0.200160128102482
"186",2000,29,2426,0.21681780708986
"187",2000,30,2127,0.248236953455571
"188",2000,31,1859,0.237762237762238
"189",2000,32,1525,0.251147540983607
"190",2000,33,1187,0.304128053917439
"191",2000,34,935,0.289839572192513
"192",2000,35,723,0.341632088520055
"193",2000,36,560,0.298214285714286
"194",2000,37,438,0.363013698630137
"195",2000,38,293,0.378839590443686
"196",2000,39,192,0.432291666666667
"197",2000,40,128,0.4609375
"198",2000,41,67,0.537313432835821
"199",2000,42,45,0.555555555555556
"200",2000,43,18,0.611111111111111
"201",2000,44,12,0.416666666666667
"202",2000,45,2,1
"203",2000,46,4,0.25
"204",2001,13,1,1
"205",2001,14,8,0
"206",2001,15,81,0.172839506172839
"207",2001,16,224,0.107142857142857
"208",2001,17,493,0.133874239350913
"209",2001,18,878,0.138952164009112
"210",2001,19,1298,0.148690292758089
"211",2001,20,1677,0.160405485986881
"212",2001,21,1757,0.155378486055777
"213",2001,22,1889,0.175224986765484
"214",2001,23,1992,0.164156626506024
"215",2001,24,2134,0.176663542642924
"216",2001,25,2248,0.186832740213523
"217",2001,26,2555,0.201174168297456
"218",2001,27,2424,0.207508250825083
"219",2001,28,2302,0.221112076455256
"220",2001,29,2254,0.232919254658385
"221",2001,30,2120,0.241037735849057
"222",2001,31,1838,0.241022850924918
"223",2001,32,1536,0.29296875
"224",2001,33,1268,0.302839116719243
"225",2001,34,1030,0.303883495145631
"226",2001,35,761,0.340341655716163
"227",2001,36,622,0.342443729903537
"228",2001,37,441,0.360544217687075
"229",2001,38,316,0.401898734177215
"230",2001,39,224,0.392857142857143
"231",2001,40,153,0.450980392156863
"232",2001,41,101,0.574257425742574
"233",2001,42,56,0.553571428571429
"234",2001,43,26,0.576923076923077
"235",2001,44,15,0.666666666666667
"236",2001,45,6,0.833333333333333
"237",2001,46,1,0
"238",2001,47,2,1
"239",2001,50,1,1
"240",2001,55,1,1
"241",2002,13,1,0
"242",2002,14,11,0.181818181818182
"243",2002,15,75,0.16
"244",2002,16,247,0.117408906882591
"245",2002,17,481,0.124740124740125
"246",2002,18,825,0.170909090909091
"247",2002,19,1292,0.162538699690402
"248",2002,20,1688,0.161729857819905
"249",2002,21,1877,0.196057538625466
"250",2002,22,1992,0.163152610441767
"251",2002,23,2026,0.192497532082922
"252",2002,24,2106,0.207027540360874
"253",2002,25,2204,0.201905626134301
"254",2002,26,2340,0.210683760683761
"255",2002,27,2509,0.225986448784376
"256",2002,28,2426,0.239901071723001
"257",2002,29,2347,0.244993608862378
"258",2002,30,2166,0.257156048014774
"259",2002,31,1903,0.273778244876511
"260",2002,32,1694,0.28866587957497
"261",2002,33,1389,0.320374370050396
"262",2002,34,1097,0.321786690975387
"263",2002,35,878,0.329157175398633
"264",2002,36,662,0.362537764350453
"265",2002,37,479,0.427974947807933
"266",2002,38,391,0.447570332480818
"267",2002,39,295,0.416949152542373
"268",2002,40,185,0.481081081081081
"269",2002,41,87,0.540229885057471
"270",2002,42,60,0.533333333333333
"271",2002,43,34,0.588235294117647
"272",2002,44,12,0.75
"273",2002,45,6,0.5
"274",2002,46,5,0.6
"275",2002,47,1,1
"276",2002,48,1,1
"277",2002,58,1,1
"278",2003,13,3,0
"279",2003,14,13,0.153846153846154
"280",2003,15,66,0.0606060606060606
"281",2003,16,217,0.147465437788018
"282",2003,17,445,0.150561797752809
"283",2003,18,814,0.171990171990172
"284",2003,19,1229,0.167615947925142
"285",2003,20,1526,0.194626474442988
"286",2003,21,1888,0.198622881355932
"287",2003,22,1988,0.199698189134809
"288",2003,23,1947,0.204417051874679
"289",2003,24,2099,0.206765126250596
"290",2003,25,2255,0.227937915742794
"291",2003,26,2275,0.239120879120879
"292",2003,27,2403,0.226799833541407
"293",2003,28,2358,0.24342663273961
"294",2003,29,2237,0.234242288779616
"295",2003,30,2172,0.279005524861878
"296",2003,31,1922,0.275754422476587
"297",2003,32,1597,0.304320601127113
"298",2003,33,1258,0.319554848966614
"299",2003,34,1174,0.356047700170358
"300",2003,35,928,0.34375
"301",2003,36,747,0.393574297188755
"302",2003,37,544,0.420955882352941
"303",2003,38,399,0.401002506265664
"304",2003,39,292,0.482876712328767
"305",2003,40,191,0.486910994764398
"306",2003,41,136,0.529411764705882
"307",2003,42,68,0.544117647058823
"308",2003,43,27,0.740740740740741
"309",2003,44,17,0.647058823529412
"310",2003,45,3,1
"311",2003,46,2,0.5
"312",2003,49,1,1
"313",2004,13,2,0
"314",2004,14,15,0.2
"315",2004,15,75,0.226666666666667
"316",2004,16,221,0.208144796380091
"317",2004,17,475,0.178947368421053
"318",2004,18,785,0.194904458598726
"319",2004,19,1339,0.191187453323376
"320",2004,20,1568,0.197704081632653
"321",2004,21,1801,0.210993892282066
"322",2004,22,2037,0.206185567010309
"323",2004,23,2208,0.21875
"324",2004,24,2224,0.223920863309353
"325",2004,25,2281,0.237176676896098
"326",2004,26,2301,0.2290308561495
"327",2004,27,2436,0.251642036124795
"328",2004,28,2296,0.247386759581882
"329",2004,29,2303,0.270950933564915
"330",2004,30,2211,0.281772953414744
"331",2004,31,1971,0.274479959411466
"332",2004,32,1690,0.301775147928994
"333",2004,33,1340,0.335074626865672
"334",2004,34,1187,0.352990732940185
"335",2004,35,1048,0.37118320610687
"336",2004,36,779,0.419768934531451
"337",2004,37,580,0.393103448275862
"338",2004,38,444,0.45045045045045
"339",2004,39,326,0.466257668711656
"340",2004,40,200,0.56
"341",2004,41,125,0.608
"342",2004,42,77,0.571428571428571
"343",2004,43,34,0.617647058823529
"344",2004,44,19,0.842105263157895
"345",2004,45,6,0.833333333333333
"346",2004,46,3,0.333333333333333
"347",2004,47,2,1
"348",2004,48,2,1
"349",2005,14,3,0.666666666666667
"350",2005,15,62,0.209677419354839
"351",2005,16,186,0.172043010752688
"352",2005,17,438,0.162100456621005
"353",2005,18,830,0.2
"354",2005,19,1204,0.224252491694352
"355",2005,20,1507,0.195753151957532
"356",2005,21,1726,0.194090382387022
"357",2005,22,1851,0.209616423554835
"358",2005,23,2198,0.214285714285714
"359",2005,24,2265,0.229580573951435
"360",2005,25,2380,0.230672268907563
"361",2005,26,2374,0.248104465037911
"362",2005,27,2331,0.258687258687259
"363",2005,28,2290,0.25589519650655
"364",2005,29,2315,0.266522678185745
"365",2005,30,2163,0.275543226999538
"366",2005,31,1967,0.298932384341637
"367",2005,32,1643,0.331710286062082
"368",2005,33,1494,0.374163319946452
"369",2005,34,1206,0.349917081260365
"370",2005,35,1005,0.387064676616915
"371",2005,36,850,0.425882352941176
"372",2005,37,639,0.417840375586854
"373",2005,38,465,0.460215053763441
"374",2005,39,309,0.488673139158576
"375",2005,40,224,0.513392857142857
"376",2005,41,146,0.547945205479452
"377",2005,42,78,0.551282051282051
"378",2005,43,35,0.628571428571429
"379",2005,44,16,0.6875
"380",2005,45,11,0.818181818181818
"381",2005,46,2,1
"382",2005,47,4,0.5
"383",2005,48,1,1
"384",2005,49,1,1
"385",2005,50,2,0.5
"386",2006,13,2,0
"387",2006,14,16,0.25
"388",2006,15,69,0.260869565217391
"389",2006,16,205,0.160975609756098
"390",2006,17,403,0.193548387096774
"391",2006,18,698,0.169054441260745
"392",2006,19,1184,0.201858108108108
"393",2006,20,1491,0.197853789403085
"394",2006,21,1688,0.217417061611374
"395",2006,22,1803,0.219633943427621
"396",2006,23,1964,0.237780040733198
"397",2006,24,2281,0.239807102148181
"398",2006,25,2385,0.248218029350105
"399",2006,26,2323,0.252260008609557
"400",2006,27,2356,0.260611205432937
"401",2006,28,2383,0.279479647503147
"402",2006,29,2253,0.284065690190857
"403",2006,30,2244,0.286541889483066
"404",2006,31,2124,0.304143126177024
"405",2006,32,1774,0.333145434047351
"406",2006,33,1414,0.354314002828854
"407",2006,34,1260,0.372222222222222
"408",2006,35,1058,0.379017013232514
"409",2006,36,803,0.417185554171856
"410",2006,37,690,0.436231884057971
"411",2006,38,478,0.456066945606695
"412",2006,39,357,0.470588235294118
"413",2006,40,268,0.511194029850746
"414",2006,41,143,0.524475524475524
"415",2006,42,75,0.626666666666667
"416",2006,43,51,0.568627450980392
"417",2006,44,27,0.666666666666667
"418",2006,45,11,0.727272727272727
"419",2006,46,1,0
"420",2006,47,3,0.666666666666667
"421",2006,49,1,1
"422",2006,51,1,1
"423",2006,56,1,1
"424",2007,13,1,1
"425",2007,14,5,0
"426",2007,15,63,0.19047619047619
"427",2007,16,183,0.147540983606557
"428",2007,17,389,0.197943444730077
"429",2007,18,688,0.204941860465116
"430",2007,19,1107,0.22583559168925
"431",2007,20,1356,0.224926253687316
"432",2007,21,1569,0.227533460803059
"433",2007,22,1747,0.244419004006869
"434",2007,23,1989,0.230769230769231
"435",2007,24,2013,0.26775956284153
"436",2007,25,2324,0.252151462994836
"437",2007,26,2482,0.267929089443997
"438",2007,27,2323,0.278949634093844
"439",2007,28,2239,0.290754801250558
"440",2007,29,2143,0.298180121325245
"441",2007,30,2147,0.307871448532836
"442",2007,31,1978,0.326592517694641
"443",2007,32,1714,0.34830805134189
"444",2007,33,1454,0.336313617606602
"445",2007,34,1233,0.355231143552311
"446",2007,35,1016,0.396653543307087
"447",2007,36,902,0.417960088691796
"448",2007,37,732,0.418032786885246
"449",2007,38,471,0.477707006369427
"450",2007,39,390,0.505128205128205
"451",2007,40,264,0.515151515151515
"452",2007,41,155,0.535483870967742
"453",2007,42,103,0.543689320388349
"454",2007,43,45,0.6
"455",2007,44,16,0.3125
"456",2007,45,7,0.571428571428571
"457",2007,46,8,1
"458",2007,47,2,0.5
"459",2007,49,1,0
"460",2007,50,1,1
"461",2007,52,1,1
"462",2008,11,1,1
"463",2008,14,6,0
"464",2008,15,69,0.188405797101449
"465",2008,16,185,0.194594594594595
"466",2008,17,418,0.205741626794258
"467",2008,18,720,0.223611111111111
"468",2008,19,1095,0.206392694063927
"469",2008,20,1472,0.219429347826087
"470",2008,21,1592,0.222989949748744
"471",2008,22,1676,0.272673031026253
"472",2008,23,1890,0.265079365079365
"473",2008,24,2097,0.246065808297568
"474",2008,25,2259,0.270916334661355
"475",2008,26,2527,0.255639097744361
"476",2008,27,2558,0.290852228303362
"477",2008,28,2521,0.291947639825466
"478",2008,29,2318,0.292924935289042
"479",2008,30,2110,0.322274881516588
"480",2008,31,2021,0.335972290945077
"481",2008,32,1769,0.356133408705483
"482",2008,33,1541,0.375730045425049
"483",2008,34,1276,0.385579937304075
"484",2008,35,1107,0.419150858175248
"485",2008,36,897,0.429208472686734
"486",2008,37,692,0.449421965317919
"487",2008,38,521,0.472168905950096
"488",2008,39,389,0.501285347043702
"489",2008,40,292,0.547945205479452
"490",2008,41,152,0.546052631578947
"491",2008,42,106,0.622641509433962
"492",2008,43,53,0.547169811320755
"493",2008,44,27,0.62962962962963
"494",2008,45,15,0.866666666666667
"495",2008,46,8,0.875
"496",2008,47,3,0
"497",2008,48,5,0.8
"498",2008,49,3,1
"499",2008,51,1,1
"500",2009,13,1,0
"501",2009,14,13,0.307692307692308
"502",2009,15,50,0.16
"503",2009,16,179,0.162011173184358
"504",2009,17,359,0.261838440111421
"505",2009,18,646,0.230650154798762
"506",2009,19,1045,0.233492822966507
"507",2009,20,1316,0.215045592705167
"508",2009,21,1543,0.244329228775113
"509",2009,22,1641,0.264472882388787
"510",2009,23,1864,0.240343347639485
"511",2009,24,2026,0.245804540967423
"512",2009,25,2217,0.26702751465945
"513",2009,26,2433,0.273325113029182
"514",2009,27,2501,0.293482606957217
"515",2009,28,2550,0.290196078431373
"516",2009,29,2444,0.306055646481178
"517",2009,30,2301,0.317687961755758
"518",2009,31,1940,0.336082474226804
"519",2009,32,1755,0.357264957264957
"520",2009,33,1471,0.375254928619986
"521",2009,34,1277,0.369616288175411
"522",2009,35,1113,0.403414195867026
"523",2009,36,903,0.421926910299003
"524",2009,37,664,0.430722891566265
"525",2009,38,541,0.480591497227357
"526",2009,39,405,0.48641975308642
"527",2009,40,330,0.548484848484848
"528",2009,41,179,0.581005586592179
"529",2009,42,125,0.584
"530",2009,43,60,0.666666666666667
"531",2009,44,24,0.625
"532",2009,45,15,0.8
"533",2009,46,6,0.833333333333333
"534",2009,47,9,0.777777777777778
"535",2009,48,2,1
"536",2009,49,3,1
"537",2009,50,1,1
"538",2009,53,1,1
"539",2010,13,1,1
"540",2010,14,16,0.25
"541",2010,15,57,0.298245614035088
"542",2010,16,165,0.2
"543",2010,17,383,0.214099216710183
"544",2010,18,559,0.194991055456172
"545",2010,19,1048,0.230916030534351
"546",2010,20,1305,0.245210727969349
"547",2010,21,1529,0.224329627207325
"548",2010,22,1638,0.245421245421245
"549",2010,23,1800,0.245555555555556
"550",2010,24,1981,0.257950530035336
"551",2010,25,2249,0.254779902178746
"552",2010,26,2475,0.252121212121212
"553",2010,27,2483,0.277084172372131
"554",2010,28,2729,0.304140710883107
"555",2010,29,2684,0.304769001490313
"556",2010,30,2386,0.305532271584241
"557",2010,31,2178,0.334710743801653
"558",2010,32,1846,0.339653304442037
"559",2010,33,1569,0.358827278521351
"560",2010,34,1386,0.4004329004329
"561",2010,35,1181,0.410668924640135
"562",2010,36,957,0.41692789968652
"563",2010,37,751,0.464713715046605
"564",2010,38,632,0.450949367088608
"565",2010,39,469,0.46908315565032
"566",2010,40,314,0.512738853503185
"567",2010,41,219,0.474885844748858
"568",2010,42,129,0.581395348837209
"569",2010,43,68,0.647058823529412
"570",2010,44,39,0.641025641025641
