"","ALTM","BILDM","count","sectiorate"
"1",12,"1",1,0
"2",13,"1",14,0.214285714285714
"3",13,"3",4,0
"4",14,"1",131,0.16793893129771
"5",14,"2",9,0
"6",14,"3",14,0.0714285714285714
"7",15,"1",874,0.189931350114416
"8",15,"2",76,0.131578947368421
"9",15,"3",53,0.0943396226415094
"10",15,"4",3,0.333333333333333
"11",16,"1",2707,0.134096786110085
"12",16,"2",604,0.149006622516556
"13",16,"3",72,0.138888888888889
"14",16,"4",3,0.666666666666667
"15",17,"1",5604,0.152212705210564
"16",17,"2",2356,0.148556876061121
"17",17,"3",179,0.0893854748603352
"18",17,"4",8,0.125
"19",18,"1",8170,0.169155446756426
"20",18,"2",6411,0.160973327094057
"21",18,"3",491,0.142566191446029
"22",18,"4",18,0.111111111111111
"23",19,"1",10873,0.172077623470983
"24",19,"2",13436,0.170735337898184
"25",19,"3",1224,0.140522875816993
"26",19,"4",81,0.148148148148148
"27",20,"1",12574,0.169715285509782
"28",20,"2",20234,0.173173865770485
"29",20,"3",2165,0.15473441108545
"30",20,"4",210,0.166666666666667
"31",21,"1",14268,0.170030838239417
"32",21,"2",26348,0.175990587520874
"33",21,"3",3517,0.156383281205573
"34",21,"4",390,0.169230769230769
"35",22,"1",15512,0.175928313563693
"36",22,"2",32378,0.179504601890172
"37",22,"3",5206,0.15194006915098
"38",22,"4",808,0.191831683168317
"39",23,"1",16363,0.172156694982583
"40",23,"2",38650,0.182095730918499
"41",23,"3",7489,0.170917345439979
"42",23,"4",1515,0.172937293729373
"43",24,"1",17092,0.17148373508074
"44",24,"2",44760,0.186371760500447
"45",24,"3",10037,0.175550463285842
"46",24,"4",2680,0.186940298507463
"47",25,"1",17360,0.179435483870968
"48",25,"2",50393,0.193161748655567
"49",25,"3",12924,0.181522748375116
"50",25,"4",4343,0.183053189039834
"51",26,"1",17575,0.186116642958748
"52",26,"2",54105,0.192274281489696
"53",26,"3",15514,0.188088178419492
"54",26,"4",6621,0.17550219000151
"55",27,"1",17249,0.200127543625717
"56",27,"2",56084,0.197863918408102
"57",27,"3",17277,0.190889622040864
"58",27,"4",9579,0.200334064098549
"59",28,"1",16681,0.199388525867754
